id_code,experiment,plate,well,sirna,well_type
HEPG2-01_1_B02,HEPG2-01,1,B02,UNTREATED,negative_control
HEPG2-01_1_C03,HEPG2-01,1,C03,sirna_852,positive_control
HEPG2-01_1_C07,HEPG2-01,1,C07,sirna_702,positive_control
HEPG2-01_1_C11,HEPG2-01,1,C11,sirna_618,positive_control
HEPG2-01_1_C15,HEPG2-01,1,C15,sirna_272,positive_control
HEPG2-01_1_C19,HEPG2-01,1,C19,sirna_682,positive_control
HEPG2-01_1_C22,HEPG2-01,1,C22,sirna_256,positive_control
HEPG2-01_1_F03,HEPG2-01,1,F03,sirna_577,positive_control
HEPG2-01_1_F07,HEPG2-01,1,F07,sirna_201,positive_control
HEPG2-01_1_F11,HEPG2-01,1,F11,sirna_650,positive_control
HEPG2-01_1_F15,HEPG2-01,1,F15,sirna_323,positive_control
HEPG2-01_1_F19,HEPG2-01,1,F19,sirna_756,positive_control
HEPG2-01_1_F22,HEPG2-01,1,F22,sirna_1011,positive_control
HEPG2-01_1_H03,HEPG2-01,1,H03,sirna_542,positive_control
HEPG2-01_1_H07,HEPG2-01,1,H07,sirna_144,positive_control
HEPG2-01_1_H11,HEPG2-01,1,H11,sirna_672,positive_control
HEPG2-01_1_H15,HEPG2-01,1,H15,sirna_1056,positive_control
HEPG2-01_1_H19,HEPG2-01,1,H19,sirna_1037,positive_control
HEPG2-01_1_H22,HEPG2-01,1,H22,sirna_810,positive_control
HEPG2-01_1_J03,HEPG2-01,1,J03,sirna_825,positive_control
HEPG2-01_1_J07,HEPG2-01,1,J07,sirna_410,positive_control
HEPG2-01_1_J11,HEPG2-01,1,J11,sirna_714,positive_control
HEPG2-01_1_J15,HEPG2-01,1,J15,sirna_864,positive_control
HEPG2-01_1_J19,HEPG2-01,1,J19,sirna_374,positive_control
HEPG2-01_1_J22,HEPG2-01,1,J22,sirna_766,positive_control
HEPG2-01_1_M03,HEPG2-01,1,M03,sirna_237,positive_control
HEPG2-01_1_M07,HEPG2-01,1,M07,sirna_822,positive_control
HEPG2-01_1_M11,HEPG2-01,1,M11,sirna_842,positive_control
HEPG2-01_1_M15,HEPG2-01,1,M15,sirna_52,positive_control
HEPG2-01_1_M19,HEPG2-01,1,M19,sirna_967,positive_control
HEPG2-01_1_M22,HEPG2-01,1,M22,sirna_888,positive_control
