id_code,experiment,plate,well,sirna,well_type,target_id
HEPG2-01_1_B03,HEPG2-01,1,B03,sirna_250,,308
HEPG2-01_1_B04,HEPG2-01,1,B04,sirna_62,,718
HEPG2-01_1_B05,HEPG2-01,1,B05,sirna_1115,,132
HEPG2-01_1_B06,HEPG2-01,1,B06,sirna_602,,699
HEPG2-01_1_B07,HEPG2-01,1,B07,sirna_529,,617
HEPG2-01_1_B08,HEPG2-01,1,B08,sirna_863,,988
HEPG2-01_1_B09,HEPG2-01,1,B09,sirna_334,,401
HEPG2-01_1_B10,HEPG2-01,1,B10,sirna_1104,,120
HEPG2-01_1_B11,HEPG2-01,1,B11,sirna_153,,200
HEPG2-01_1_B12,HEPG2-01,1,B12,sirna_372,,443
HEPG2-01_1_B13,HEPG2-01,1,B13,sirna_553,,644
HEPG2-01_1_B14,HEPG2-01,1,B14,sirna_906,,1036
HEPG2-01_1_B15,HEPG2-01,1,B15,sirna_932,,1065
HEPG2-01_1_B16,HEPG2-01,1,B16,sirna_174,,223
HEPG2-01_1_B17,HEPG2-01,1,B17,sirna_1046,,55
HEPG2-01_1_B18,HEPG2-01,1,B18,sirna_82,,940
HEPG2-01_1_B19,HEPG2-01,1,B19,sirna_610,,708
HEPG2-01_1_B20,HEPG2-01,1,B20,sirna_66,,762
HEPG2-01_1_B21,HEPG2-01,1,B21,sirna_189,,239
HEPG2-01_1_B22,HEPG2-01,1,B22,sirna_416,,492
HEPG2-01_1_B23,HEPG2-01,1,B23,sirna_448,,527
HEPG2-01_1_C02,HEPG2-01,1,C02,sirna_701,,809
HEPG2-01_1_C04,HEPG2-01,1,C04,sirna_625,,724
HEPG2-01_1_C05,HEPG2-01,1,C05,sirna_779,,894
HEPG2-01_1_C06,HEPG2-01,1,C06,sirna_224,,279
HEPG2-01_1_C08,HEPG2-01,1,C08,sirna_93,,1062
HEPG2-01_1_C09,HEPG2-01,1,C09,sirna_309,,373
HEPG2-01_1_C10,HEPG2-01,1,C10,sirna_445,,524
HEPG2-01_1_C12,HEPG2-01,1,C12,sirna_102,,26
HEPG2-01_1_C13,HEPG2-01,1,C13,sirna_163,,211
HEPG2-01_1_C14,HEPG2-01,1,C14,sirna_238,,294
HEPG2-01_1_C16,HEPG2-01,1,C16,sirna_239,,295
HEPG2-01_1_C17,HEPG2-01,1,C17,sirna_684,,789
HEPG2-01_1_C18,HEPG2-01,1,C18,sirna_275,,335
HEPG2-01_1_C20,HEPG2-01,1,C20,sirna_197,,248
HEPG2-01_1_C21,HEPG2-01,1,C21,sirna_765,,879
HEPG2-01_1_C23,HEPG2-01,1,C23,sirna_585,,679
HEPG2-01_1_D02,HEPG2-01,1,D02,sirna_919,,1050
HEPG2-01_1_D03,HEPG2-01,1,D03,sirna_139,,184
HEPG2-01_1_D04,HEPG2-01,1,D04,sirna_321,,387
HEPG2-01_1_D05,HEPG2-01,1,D05,sirna_955,,1090
HEPG2-01_1_D06,HEPG2-01,1,D06,sirna_385,,457
HEPG2-01_1_D07,HEPG2-01,1,D07,sirna_202,,255
HEPG2-01_1_D08,HEPG2-01,1,D08,sirna_544,,634
HEPG2-01_1_D09,HEPG2-01,1,D09,sirna_86,,984
HEPG2-01_1_D10,HEPG2-01,1,D10,sirna_727,,837
HEPG2-01_1_D11,HEPG2-01,1,D11,sirna_715,,824
HEPG2-01_1_D12,HEPG2-01,1,D12,sirna_915,,1046
HEPG2-01_1_D13,HEPG2-01,1,D13,sirna_437,,515
HEPG2-01_1_D14,HEPG2-01,1,D14,sirna_964,,1100
HEPG2-01_1_D15,HEPG2-01,1,D15,sirna_574,,667
HEPG2-01_1_D16,HEPG2-01,1,D16,sirna_555,,646
HEPG2-01_1_D17,HEPG2-01,1,D17,sirna_1081,,94
HEPG2-01_1_D18,HEPG2-01,1,D18,sirna_1116,,133
HEPG2-01_1_D19,HEPG2-01,1,D19,sirna_180,,230
HEPG2-01_1_D20,HEPG2-01,1,D20,sirna_90,,1029
HEPG2-01_1_D21,HEPG2-01,1,D21,sirna_777,,892
HEPG2-01_1_D22,HEPG2-01,1,D22,sirna_222,,277
HEPG2-01_1_D23,HEPG2-01,1,D23,sirna_501,,587
HEPG2-01_1_E02,HEPG2-01,1,E02,sirna_789,,905
HEPG2-01_1_E03,HEPG2-01,1,E03,sirna_985,,1123
HEPG2-01_1_E04,HEPG2-01,1,E04,sirna_210,,264
HEPG2-01_1_E05,HEPG2-01,1,E05,sirna_711,,820
HEPG2-01_1_E06,HEPG2-01,1,E06,sirna_209,,262
HEPG2-01_1_E07,HEPG2-01,1,E07,sirna_839,,961
HEPG2-01_1_E08,HEPG2-01,1,E08,sirna_667,,770
HEPG2-01_1_E09,HEPG2-01,1,E09,sirna_723,,833
HEPG2-01_1_E10,HEPG2-01,1,E10,sirna_1085,,98
HEPG2-01_1_E11,HEPG2-01,1,E11,sirna_1123,,141
HEPG2-01_1_E12,HEPG2-01,1,E12,sirna_908,,1038
HEPG2-01_1_E13,HEPG2-01,1,E13,sirna_649,,750
HEPG2-01_1_E14,HEPG2-01,1,E14,sirna_671,,775
HEPG2-01_1_E15,HEPG2-01,1,E15,sirna_181,,231
HEPG2-01_1_E16,HEPG2-01,1,E16,sirna_1121,,139
HEPG2-01_1_E17,HEPG2-01,1,E17,sirna_803,,922
HEPG2-01_1_E18,HEPG2-01,1,E18,sirna_46,,540
HEPG2-01_1_E19,HEPG2-01,1,E19,sirna_375,,446
HEPG2-01_1_E20,HEPG2-01,1,E20,sirna_253,,311
HEPG2-01_1_E21,HEPG2-01,1,E21,sirna_88,,1006
HEPG2-01_1_E22,HEPG2-01,1,E22,sirna_112,,137
HEPG2-01_1_E23,HEPG2-01,1,E23,sirna_990,,1129
HEPG2-01_1_F02,HEPG2-01,1,F02,sirna_218,,272
HEPG2-01_1_F04,HEPG2-01,1,F04,sirna_191,,242
HEPG2-01_1_F05,HEPG2-01,1,F05,sirna_232,,288
HEPG2-01_1_F06,HEPG2-01,1,F06,sirna_788,,904
HEPG2-01_1_F08,HEPG2-01,1,F08,sirna_934,,1067
HEPG2-01_1_F09,HEPG2-01,1,F09,sirna_482,,565
HEPG2-01_1_F10,HEPG2-01,1,F10,sirna_859,,983
HEPG2-01_1_F12,HEPG2-01,1,F12,sirna_439,,517
HEPG2-01_1_F13,HEPG2-01,1,F13,sirna_158,,205
HEPG2-01_1_F14,HEPG2-01,1,F14,sirna_709,,817
HEPG2-01_1_F16,HEPG2-01,1,F16,sirna_225,,280
HEPG2-01_1_F17,HEPG2-01,1,F17,sirna_325,,391
HEPG2-01_1_F18,HEPG2-01,1,F18,sirna_23,,285
HEPG2-01_1_F20,HEPG2-01,1,F20,sirna_402,,477
HEPG2-01_1_F21,HEPG2-01,1,F21,sirna_418,,494
HEPG2-01_1_F23,HEPG2-01,1,F23,sirna_60,,696
HEPG2-01_1_G02,HEPG2-01,1,G02,sirna_1016,,22
HEPG2-01_1_G03,HEPG2-01,1,G03,sirna_575,,668
HEPG2-01_1_G04,HEPG2-01,1,G04,sirna_129,,173
HEPG2-01_1_G05,HEPG2-01,1,G05,sirna_744,,856
HEPG2-01_1_G06,HEPG2-01,1,G06,sirna_185,,235
HEPG2-01_1_G07,HEPG2-01,1,G07,sirna_819,,939
HEPG2-01_1_G08,HEPG2-01,1,G08,sirna_504,,590
HEPG2-01_1_G09,HEPG2-01,1,G09,sirna_831,,953
HEPG2-01_1_G10,HEPG2-01,1,G10,sirna_539,,628
HEPG2-01_1_G11,HEPG2-01,1,G11,sirna_678,,782
HEPG2-01_1_G12,HEPG2-01,1,G12,sirna_310,,375
HEPG2-01_1_G13,HEPG2-01,1,G13,sirna_996,,1135
HEPG2-01_1_G14,HEPG2-01,1,G14,sirna_279,,339
HEPG2-01_1_G15,HEPG2-01,1,G15,sirna_43,,507
HEPG2-01_1_G16,HEPG2-01,1,G16,sirna_344,,412
HEPG2-01_1_G17,HEPG2-01,1,G17,sirna_716,,825
HEPG2-01_1_G18,HEPG2-01,1,G18,sirna_816,,936
HEPG2-01_1_G19,HEPG2-01,1,G19,sirna_478,,560
HEPG2-01_1_G20,HEPG2-01,1,G20,sirna_942,,1076
HEPG2-01_1_G21,HEPG2-01,1,G21,sirna_754,,867
HEPG2-01_1_G22,HEPG2-01,1,G22,sirna_800,,919
HEPG2-01_1_G23,HEPG2-01,1,G23,sirna_1013,,19
HEPG2-01_1_H02,HEPG2-01,1,H02,sirna_434,,512
HEPG2-01_1_H04,HEPG2-01,1,H04,sirna_502,,588
HEPG2-01_1_H05,HEPG2-01,1,H05,sirna_845,,968
HEPG2-01_1_H06,HEPG2-01,1,H06,sirna_496,,580
HEPG2-01_1_H08,HEPG2-01,1,H08,sirna_548,,638
HEPG2-01_1_H09,HEPG2-01,1,H09,sirna_1129,,147
HEPG2-01_1_H10,HEPG2-01,1,H10,sirna_425,,502
HEPG2-01_1_H12,HEPG2-01,1,H12,sirna_430,,508
HEPG2-01_1_H13,HEPG2-01,1,H13,sirna_348,,416
HEPG2-01_1_H14,HEPG2-01,1,H14,sirna_498,,582
HEPG2-01_1_H16,HEPG2-01,1,H16,sirna_426,,503
HEPG2-01_1_H17,HEPG2-01,1,H17,sirna_688,,793
HEPG2-01_1_H18,HEPG2-01,1,H18,sirna_893,,1021
HEPG2-01_1_H20,HEPG2-01,1,H20,sirna_811,,931
HEPG2-01_1_H21,HEPG2-01,1,H21,sirna_104,,48
HEPG2-01_1_H23,HEPG2-01,1,H23,sirna_521,,609
HEPG2-01_1_I02,HEPG2-01,1,I02,sirna_653,,755
HEPG2-01_1_I03,HEPG2-01,1,I03,sirna_113,,148
HEPG2-01_1_I04,HEPG2-01,1,I04,sirna_562,,654
HEPG2-01_1_I05,HEPG2-01,1,I05,sirna_928,,1060
HEPG2-01_1_I06,HEPG2-01,1,I06,sirna_561,,653
HEPG2-01_1_I07,HEPG2-01,1,I07,sirna_364,,434
HEPG2-01_1_I08,HEPG2-01,1,I08,sirna_234,,290
HEPG2-01_1_I09,HEPG2-01,1,I09,sirna_45,,529
HEPG2-01_1_I10,HEPG2-01,1,I10,sirna_1025,,32
HEPG2-01_1_I11,HEPG2-01,1,I11,sirna_343,,411
HEPG2-01_1_I12,HEPG2-01,1,I12,sirna_464,,545
HEPG2-01_1_I13,HEPG2-01,1,I13,sirna_930,,1063
HEPG2-01_1_I14,HEPG2-01,1,I14,sirna_986,,1124
HEPG2-01_1_I15,HEPG2-01,1,I15,sirna_254,,312
HEPG2-01_1_I16,HEPG2-01,1,I16,sirna_581,,675
HEPG2-01_1_I17,HEPG2-01,1,I17,sirna_155,,202
HEPG2-01_1_I18,HEPG2-01,1,I18,sirna_943,,1077
HEPG2-01_1_I19,HEPG2-01,1,I19,sirna_720,,830
HEPG2-01_1_I20,HEPG2-01,1,I20,sirna_1092,,106
HEPG2-01_1_I21,HEPG2-01,1,I21,sirna_611,,709
HEPG2-01_1_I22,HEPG2-01,1,I22,sirna_78,,895
HEPG2-01_1_I23,HEPG2-01,1,I23,sirna_615,,713
HEPG2-01_1_J02,HEPG2-01,1,J02,sirna_850,,974
HEPG2-01_1_J04,HEPG2-01,1,J04,sirna_264,,323
HEPG2-01_1_J05,HEPG2-01,1,J05,sirna_186,,236
HEPG2-01_1_J06,HEPG2-01,1,J06,sirna_622,,721
HEPG2-01_1_J08,HEPG2-01,1,J08,sirna_993,,1132
HEPG2-01_1_J09,HEPG2-01,1,J09,sirna_295,,357
HEPG2-01_1_J10,HEPG2-01,1,J10,sirna_887,,1014
HEPG2-01_1_J12,HEPG2-01,1,J12,sirna_661,,764
HEPG2-01_1_J13,HEPG2-01,1,J13,sirna_751,,864
HEPG2-01_1_J14,HEPG2-01,1,J14,sirna_487,,570
HEPG2-01_1_J16,HEPG2-01,1,J16,sirna_664,,767
HEPG2-01_1_J17,HEPG2-01,1,J17,sirna_998,,1137
HEPG2-01_1_J18,HEPG2-01,1,J18,sirna_18,,229
HEPG2-01_1_J20,HEPG2-01,1,J20,sirna_289,,350
HEPG2-01_1_J21,HEPG2-01,1,J21,sirna_1003,,8
HEPG2-01_1_J23,HEPG2-01,1,J23,sirna_131,,176
HEPG2-01_1_K02,HEPG2-01,1,K02,sirna_1044,,53
HEPG2-01_1_K03,HEPG2-01,1,K03,sirna_843,,966
HEPG2-01_1_K04,HEPG2-01,1,K04,sirna_193,,244
HEPG2-01_1_K05,HEPG2-01,1,K05,sirna_978,,1115
HEPG2-01_1_K06,HEPG2-01,1,K06,sirna_282,,343
